titulo,Cidade,salario,descricao
Desenvolvedor Python,Belo Horizonte,,"Irá atuar com linguagens de marcação HTML5, CSS e BOOTSTRAP 4."
Desenvolvedor Java Full Stack - Pleno,Belo Horizonte,,"Fazer o desenvolvimento e manutenção em sistemas WEB, Mobile dentre outras soluções."
Desenvolvedor Java,Belo Horizonte,,Atuar em projetos que tangem automatização de processos. Está disposto a aprender e agregar;
Desenvolvedor Java Pleno,São Paulo,,"Frameworks JS: React Native, React, Webpack, MaterialUI, Redux, Mobx, Express, NestJS, Banco de dados: MySQL, SQL Server e NoSQL (Mongodb e Redis)"
Desenvolvedor Angular Sênior,São Paulo,,"Atuação com desenvolvimentos de frontend (HTML5, CSS, JavaScript)"
Desenvolvedor Full Stack,São Paulo,,Atuar com desenvolvimento para fabrica de software.
Desenvolvedor Front-end Pleno,São Paulo,,"Criar um ambiente bacana é responsabilidade de todos. Compartilhar conhecimento faz com que todos cresçam juntos. Squads com autonomia para entregar os melhores produtos usando o que melhor lhes convém (Kanban, Scrum, XP). Uma tech stack massa! Estamos usando coisas como Django, Lambda, Elasticsearch, DynamoDB, React, Docker, Flutter e por aí vai. Adquirir novas habilidades em outras áreas e ajudar seu squad com o que for preciso. Colaboração - apoiar ativamente as pessoas, se posicionando para cumprir nossos objetivos coletivos e individuais. O QUE PRECISAMOS A stack de nossos novos projetos é centrada no ecossistema do React (React, Redux, Axios, Styled Components, Next, testes unitários com Jest), e temos um grande código legado em jQuery e Javascript Vanilla. Gostamos muito de pessoas que curtem aprender e se desenvolver, então se você tiver um conhecimento legal em Javascript, HTML e CSS e estiver afim de ficar bom em React, a gente quer te conhecer! Se você se encaixar em qualquer uma dessas categorias, não deixe de aplicar: * Tem Experiência em desenvolvimento para Web. Se empenha em fazer um código bonito e semântico. Fluente em Javascript. Conhecer metodologias de CSS como BEM e ITCSS. Experiência com React. Sabe se virar com APIs REST e GraphQL. Adorar testes. Zela pela qualidade do código. Manja de conceitos de tracking e arquitetura event driven."
Desenvolvedor Sr,Belo Horizonte,,"Será responsável por atuar em um time multidisciplinar em formato de squad, buscando desenvolver melhorias para os nossos produtos. Nosso time de desenvolvimento tem como missão desenvolver produtos funcionais de alta qualidade que gerem valor para o cliente, além de reestruturar os diversos produtos da Catho para sistemas de alta-disponibilidade e escalabilidade. Trabalhamos de forma ágil e colaborativa e aqui você terá responsabilidades importantes nessa missão: Desempenhar um papel fundamental para ajudar a Catho a transformar conceitos de produto na próxima geração de software que vai ajudar diversas pessoas a encontrarem o seu emprego dos sonhos."
Desenvolvedor PL,Belo Horizonte,,"Será responsável por atuar em um time multidisciplinar em formato de squad, buscando desenvolver melhorias para os nossos produtos. Nosso time de desenvolvimento tem como missão desenvolver produtos funcionais de alta qualidade que gerem valor para o cliente, além de reestruturar os diversos produtos da Catho para sistemas de alta-disponibilidade e escalabilidade. Trabalhamos de forma ágil e colaborativa e aqui há oportunidade de colaboração com times internacionais do grupo SEEK. Você terá responsabilidades importantes nessa missão: Desempenhar um papel fundamental para ajudar a Catho a transformar conceitos de produto na próxima geração Software que vai ajudar diversas pessoas a encontrarem o seu emprego dos sonhos."
Desenvolvedor .Net,Belo Horizonte,,Desenvolvimento de software utilizando tecnologia web em ambiente corporativo utilizando banco de dados; Modelagem de dados e programação orientada a objeto;
