titulo,Cidade,salario,descricao
Desenvolvedor Front End - PL,Florianopolis,,"O desenvolvedor deverá participar na discussão das necessidades de funcionais e tecnológicas; Colaborar com as estimativas em um dos principais players de e commerce do Brasil, em um ambiente descontraído e inovador; Atuará no desenvolvimento de front-end utilizando JavaScript Knockout, HTML e CSS Less."
Desenvolvedor Front-end Júnior,São Paulo,,"Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Front-End (React) - Pleno,Ribeirão Preto,,"Mindset empreendedor, ter postura de dono e ser responsável pela entrega dos projetos. Ser adaptável, aprender rápido, entender o contexto da ""big picture"", e conseguir aplicar abordagens ?"
Desenvolvedor PL - Front End,Passo Fundo,,"Atuará no desenvolvimento de front-end utilizando JavaScript Knockout, HTML e CSS Less. O desenvolvedor deverá participar na discussão das necessidades de funcionais e tecnológicas; Colaborar com as estimativas em um dos principais players de e commerce do Brasil, em um ambiente descontraído e inovador."
Desenvolvedor Full-Stack .Net,Rio de Janeiro,,"Contrata-se desenvolvedor full-stack com foco em front-end. Capaz de idealizar, desenhar, construir e testar interfaces ricas usando as melhores práticas de mercado. Precisa ser perseverante, pró-ativo, ter boa comunicação e capaz de trabalhar em equipe."
Desenvolvedor Full-Stack Júnior,Rio de Janeiro,,"Será parte integrante do time de produto, desenvolvendo ao lado de outros desenvolvedores as soluções necessárias para atingir os objetivos."
Desenvolvedor Front-end - Sênior,Ribeirão Preto,,"Será responsável pela entrega dos projetos, projetar e implementar soluções de software além de acompanhar os desenvolvedores menos experientes durante o desenvolvimento do produto."
Desenvolvedor UI Front Pleno,Belo Horizonte,,Atribuições Desenvolvimento em Angular / JavaScript / TypeScript de acordo com um plano de projeto; Construção de protótipos e desenvolvimento de aplicações Trabalhando com outros desenvolvedores com usuários de negócios para acordar requisitos e especificações; Requisitos Técnicos: - Angular 5 ou superior - Domínio da linguagem JavaScript e/
Desenvolvedor Full Stack C#,Curitiba,,"Desenvolvedor funcionalidades dos sistemas, levantar os requisitos junto ao cliente. Responsável pela sustentação de projetos de clientes. Análise, correção e acompanhamento de bugs."
Desenvolvedor Web,Rio de Janeiro,,"Programa, codifica e testa sistemas, sites e portais voltados para o ambiente da internet. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Java,Blumenau,,Será responsável pelo desenvolvimento e manutenção do sistema.
Desenvolvedor .Net,Florianopolis,,Atuar na análise e desenvolvimento de sistemas em .
Desenvolvedor Angular,São Paulo,,Irá atuar com Angular 6/
Desenvolvedor .NET Sênior,Belo Horizonte,,"Estamos a procura de um desenvolvedor web apaixonado por programação e que seja capaz de criar experiências de usuários incríveis em nossos sistemas. Executar manutenção dos sistemas fazendo eventuais correções necessárias, visando atender as necessidades dos usuários. Desenvolver trabalhos de montagens de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Java Sênior,São Paulo,,Trabalhar com sistemas de alta performance e escalável.
Desenvolvedor Front End - PL,São Paulo,,"O desenvolvedor deverá participar na discussão das necessidades de funcionais e tecnológicas; Colaborar com as estimativas em um dos principais players de e commerce do Brasil, em um ambiente descontraído e inovador; Atuará no desenvolvimento de front-end utilizando JavaScript Knockout, HTML e CSS Less."
Desenvolvedor PL - Front End,Erechim,,"Atuará no desenvolvimento de front-end utilizando JavaScript Knockout, HTML e CSS Less. O desenvolvedor deverá participar na discussão das necessidades de funcionais e tecnológicas; Colaborar com as estimativas em um dos principais players de e commerce do Brasil, em um ambiente descontraído e inovador."
Desenvolvedor Júnior,São Paulo,,"Atuará com CRUD (Cadastro [Create], Leitura [Read], Alteração [Update] e Deleção [Delete]) feito em JavaScript, Phyton, Java, ."
Desenvolvedor de Integração Sênior,Barueri,,"Contribuir em toda a pilha de tecnologias, abrangendo o desenvolvimento de ponta a ponta de aplicativos da Web e nativos, bem como melhorias nas ferramentas do DevOps."
Desenvolvedor C# / .NET / NET CORE,São Paulo,,"Buscamos desenvolvedor para integrar um time de desenvolvimento web, atuando em projetos de publicidade, como campanhas de incentivo e promoções."
Desenvolvedor Ruby on Rails / PHP,Araras,,"Programação utilizando linguagens relacionadas ao desenvolvimento para internet, primariamente Ruby e JavaScript. Criação e manutenção de páginas com HTML e CSS. Criação de queries e manutenção em banco de dados Postgresql. Desenvolvimento web utilizando o framework Ruby on Rails, desde a modelagem backend à implementação do frontend aderente aos padrões de layout e usabilidade do sistema. Criação de testes automatizados que garantam a integridade do sistema ao longo do seu ciclo de desenvolvimento. Prevenção e correção de erros ou defeitos no sistema. Definir e implementar soluções técnicas conforme as necessidades de negócio dos clientes. Documentar e comunicar suas soluções técnicas de forma compreensível para todos os membros da equipe. Integrações com APIs de terceiros, consumindo ou desenvolvendo web services. Análise de requisitos e entendimento das necessidades de negócio junto aos clientes, quando necessário."
Desenvolvedor de Web,São Paulo,,"Programa, desenvolve e implanta sistemas em linguagem PHP. Realiza correções em sistemas para atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas já desenvolvidos."
Desenvolvedor Fullstack C#,Rio de Janeiro,,"Irá atuar em levantamento, projeto e construção de software, em desenvolvimento usando C# ."
DESENVOLVEDOR JR_SP,São Paulo,,"A Sinqia, líder no desenvolvimento de software para o setor financeiro,"
Desenvolvedor Backend Sênior,São Paulo,,"Programação back-end e front-end, incluindo testes unitários. Corrigir ou atualizar projetos ou serviços existentes. Desenvolver soluções para vários problemas em conjunto com a equipe de produtos e outros desenvolvedores. Entender profundamente nossa stack de tecnologia e envolver-se no trabalho do dia-a-dia e sempre se esforce para melhorá-lo. Buscar e trazer alternativas inovadoras e novas para a empresa, buscando sempre tecnologia de ponta ideal para nossos desafios de negócios."
Desenvolvedor Java,Araraquara,,"Atuará como desenvolvedor Java. Desenvolvimento em SQL,"
Desenvolvedor Mobile React Pleno / Sênior,Salvador,,"Desenvolvedor Mobile React para desenvolvimento de soluções mobile (front e back end). Pleno e Sênior. Conhecimentos necessários: JavaScript avançado, React Native, Java, Publicação nas plataformas android e IOS, Teste Unitário; REST API, GIT. Contratação indeterminada direta pelo cliente."
Desenvolvedor Microsoft.Net,São Paulo,,"Apoio na elaboração de requisitos técnicos. Participação na arquitetura das soluções. Planejar, organizar e reportar atividades. Codificar sistemas de média/"
Desenvolvedor Python Pleno,Rio de Janeiro,,Oportunidade para trabalhar em um de nossos clientes como Desenvolvedor Python.
Desenvolvedor Front-end,Brasília,,Estamos com mais uma vaga para completar o nosso timão da Wiz. Oque acha de fazer parte? O que você vai fazer: Desenvolvimento front end usando o framework como React ou VueJs. JavaScript e TypeScript.
Desenvolvedor,Belo Horizonte,,"Desenvolvimento de soluções web, sobretudo no back-end, mas contribuindo também no front-end; Analisar e propor soluções, realizando análise dos impactos causados pela solução; Propor novas soluções de arquitetura, visando melhoria tecnológica contínua da solução LG; Documentar a solução proposta, com a maior riqueza de detalhes possível, definido o funcionamento tanto da interface quanto das regras de negócio que a sua solução deve entregar; Garantir a qualidade de sua entrega, definindo e executando os casos que cubram todas as possibilidades da solução implementada; Garantir, em conjunto com o time, a realização de estimativas de esforço das necessidades trazidas pela equipe Comercial ou Consultoria; Orientação a profissionais menos experientes quanto ao uso da tecnologia. menos experientes quanto ao uso da tecnologia."
Desenvolvedor Full-stack,Paulínia,,Atuar na concepção e desenvolvimento de nossas APIs e de nossas?
Desenvolvedor De Front-End Web,Florianopolis,,"Integrar a equipe de produtos com o desenvolvimento das soluções web focado em aplicações de CRM e ferramentas auxiliares, Conversão de soluções Desktop e soluções Web já existentes para novo paradigma de usabilidade e interface de soluções Web Trabalhar com a área de design para a padronização da identidade visual das soluções Web Requisitos:"
Desenvolvedor .NET,Barueri,,"Desenvolvimento Web, Web API, ASP."
Desenvolvedor de Sistemas,Rio de Janeiro,,"Framework Laravel, PHP 7 / PHP OO (Orientado a Objeto), Padrão MVC, Javascript (jQuery / Ajax), HTML 5 / CSS 3 (Bootstrap), Banco de Dados MySQL, Versionamento Gitlab, JSON, Consumo de API RESTful / SOAP e Desenvolvimento de API RESTful."
Desenvolvedor Front-End Pleno,São Paulo,,"Estamos a procura de um profissional que #rompapadrões, que tenha #foco no resultado e que tenha #tesãoporfazer sempre o melhor! Tá afim? :"
Desenvolvedor C# Pleno,São Paulo,,"O candidato selecionado terá a oportunidade de trabalhar em um ambiente descontraído, ágil e com tecnologias de ponta: NoSQL, Mobile, Responsive Web, e muito mais."
Desenvolvedor PHP,São Paulo,,"Programa, desenvolve e implanta sistemas em linguagem PHP. Realiza correções em sistemas para atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas já desenvolvidos."
Desenvolvedor .NET Sênior,Barueri,,Buscamos alguém que seja apaixonado por desafios e por tecnologia para que possa nos ajudar a construir aplicações robustas utilizando novas tecnologia e quebrando paradigmas que melhorem ainda mais a experiência dos usuários finais. Você precisa ter experiência em desenvolvimento de sistemas complexos utilizando solução Microsoft .
Desenvolvedor SalesForce,São Paulo,,"Atuar com desenvolvimento de software SOAP, Rest e JSON, teste e programação. Desejável conhecimento em SQL e noção de modelagem."
Desenvolvedor de Sistemas Java,São Jose dos Campos,,"Sobre a Bionexo A Bionexo é uma empresa multinacional que se propõe a transformar a gestão de saúde por meio da tecnologia. Fazemos isso através de nossos produtos que entregam mais eficiência, transparência e inteligência para Hospitais, Clínicas, Fornecedores, Indústria e outros agentes do setor, sejam eles públicos ou privados. Transacionamos +10 Bilhões de reais através de nosso marketplace, ajudando as instituições de saúde a serem mais eficientes e reduzirem custos - por ano são +500 milhões de reais economizados para o setor no Brasil. Nossos clientes representam 38% dos leitos do País e, dessa forma,"
Desenvolvedor Java,Florianopolis,,"Testes automatizados (de unidade e integração). Frameworks para desenvolvimento de web-clients (preferivelmente ReactJS), trabalhar em Florianópolis. Noções de projeto de software (arquiteturas de código, padrões de projeto OO, e projeto de frameworks)."
Desenvolvedor Full Stack Pleno,Curitiba,,Desenvolvimento e manutenção de aplicações WEB. Desenvolvimento de funcionalidades no Front-end. Desenvolvimento de funcionalidades no Back-end. Desenvolver e sustentar integrações. Experiência nas linguagens informadas .
Desenvolvedor Java,Blumenau,,"Vivência com as linguagem Java e Javascript. Irá trabalhar com Broker, criação de API's e na integração de softwares externos."
Desenvolvedor PHP,Jundiaí,,Desenvolvimento em Back-end para desenvolvimento de APIs e aplicações web em linguagem PHP. Responsável por desenvolvimento de aplicações web modernas utilizando o framework Laravel.
Desenvolvedor SalesForce - Júnior / Pleno / Sênior,São Paulo,,"Atuar com desenvolvimento de software SOAP, Rest e JSON, teste e programação. Desejável conhecimento em SQL e noção de modelagem."
Desenvolvedor Java,São Paulo,,"Profissionais interessados em começar desenvolver em Salesforce para atuar junto a equipe de desenvolvimento. Desenvolver soluções para o mercado corporativo em plataformas como Salesforce, XPI, Informática, Heroku e/"
Desenvolvedor Fullstack .NET - Angular 2+,São Paulo,,Atuar com Asp.
Desenvolvedor.NET,Porto Alegre,,"Buscar as melhores práticas de desenvolvimento, arquitetura de software e gestão de demandas junto a área de negócio. Desenvolvimento e manutenção de aplicações web. Realizar a manutenção e criação de novas funcionalidades. Desenvolvimento de funcionalidades no Front-End. Desenvolvimento de funcionalidades no Back-End. Aplicar melhores práticas de documentação de código desenvolvido. Buscar novas ferramentas e técnicas para a melhoria contínua de nossos sistemas."
Desenvolvedor - Salesforce e CRM,São Paulo,,"Atuar junto a equipe de desenvolvimento. Desenvolver soluções para o mercado corporativo em plataformas como Salesforce, XPI, Informática, Heroku e/"
Desenvolvedor Java Web Pleno,São Paulo,,"Implementar soluções de tecnologia para evoluir a disponibilidade, estabilidade e performance das aplicações."
Desenvolvedor Back-end,São Bernardo do Campo,,"Desenvolvimento, teste e manutenção de plataforma própria de E-commerce. Atuação com sistema de e- commerce em PHP e MySQL."
Desenvolvedor React Native,São Paulo,,"Atuar com Styled Components, JavaScript (ES6+), GIT, consumo de APIs REST, Clean Code, Conhecimento em pelo menos um dos frameworks de manutenção de estados (Redux, MobX,"
Desenvolvedor Pleno / Sênior,Belo Horizonte,,"Atuar com conhecimentos: Java, Spring, SQL, JPA / Hibernate, JavaScript / JQuery, Servidor Tomcat, Design Patterns padrão; WebServices ( SOAP e REST ), JSF / JSP, CSS, HTML. Conhecimentos Desejáveis: Grails/"
Desenvolvedor Front,Blumenau,,"Usamos metodologias ágeis e uma stack de tecnologia moderna permitindo a construção de: microservices, chatbots, engines de workflow, apps mobile, soluções iot, algoritmos de machine learning e sistemas de data engineering."
Desenvolvedor Fullstack,Campo Bom,,"Atuará junto a equipe de desenvolvimento da empresa, desenvolverá tanto back-end quanto front-end, deve estar disposto a sempre trazes novidades e formas de se melhorar o projeto. Atuará no desenvolvimento de softwares para plataforma web utilizando tecnologias Javascript, Ionic, Angular, Prime NG, Banco de Dados MySql. Usará o NodeJS e ou Java para a parte Backend."
Desenvolvedor Front-end Júnior,Santo André,,Atuar com desenvolvimento Front-end (JavaScript). Conhecimentos em JavaScript e seus principais Frameworks (Angular e ReactJS). Desejável conhecimento em EmberJS.
Desenvolvedor Web,São Caetano do Sul,,Atuar com ASP.
Desenvolvedor Web - Angular e Java,Maringa,,"A oportunidade é destinada para profissionais com skill de desenvolvimento de sistemas web. Vaga para trabalhar com projeto em estágio inicial, desafiador e com tecnologias de ponta. Descrição da função: Desenvolver, testar e manter soluções client-side para aplicações web; Desenvolvimento produtivo com Angular 8; Desenvolvimento produtivo com Java Spring-boot; Analisar cenários e contextos de negócios para propor melhores soluções; Reuniões com cliente; Documentar decisões, protótipos e requisitos dos clientes;"
Desenvolvedor Full stack com ênfase em Front-end,Nucleo Bandeirante,,"Estimar a complexidade e implementar estória de usuário, manter e atualizar testes automatizados, versionar código-fonte, corrigir bugs, gerar releases, entre demais atividades."
Desenvolvedor .NET,Rio de Janeiro,,Atuar com atendimento a chamados de aplicações .
Desenvolvedor Back-end,Diadema,,"Desenvolvimento, teste e manutenção de plataforma própria de E-commerce. Atuação com sistema de e- commerce em PHP e MySQL."
Desenvolvedor AEM - Adobe Experience Manager,São Paulo,,"Especialista na plataforma AEM, com foco nos skills técnicos. Adobe Analytics and, JavaScript, Manager Java e Management. Atuar com CMS Metric Development, metodologia ágil MySQL, Apache Omniture CSS, Performance Metrics, Git PHP, Google Analytics PL / SQL, Google Webmaster Tools Scrum, HTMLS Splunk, User Experience e Web Analytics."
Desenvolvedor Mobile,São Paulo,,"Desenvolvimento em aplicativo móvel para o portal da América Latina, desenvolvimento de aplicativos para dispositivos Android."
Desenvolvedor Frontend Pleno,Joinville,,"Auxiliar na análise, desenvolvimento e manutenção de sistemas;"
Desenvolvedor .NET,São Jose dos Campos,,Atuar com atendimento a chamados de aplicações .
Desenvolvedor Mobile IONIC,Curitiba,,Desenvolvimento de aplicações híbridas com Ionic. Integração com Back-end. Montagem de layouts responsivos.
Desenvolvedor Front-End,Sapiranga,,Realizar programação e manutenção em sistema WEB.
Desenvolvedor JAVA Pleno,São Paulo,,Desenvolvimento de Sistemas JAVA 7
Desenvolvedor de Automação,Uberlandia,,Atuar na garantia da qualidade no processo de desenvolvimento de software através do desenvolvimento e execução de testes automatizados.
Desenvolvedor Fluig,São Paulo,,"Atuar com integração de sistemas entre fluig e outras tecnologias. Conhecimento em confecção de API e Web service. Conhecimento de fluig, ao menos nos módulos BPM, ECM, Portal é necessário. Atuar com Identity é desejável, Programação Javascript, criação de Widgets."
Desenvolvedor Java/ Angular,Curitiba,,"Manutenção e melhorias no sistema SIGMA, utilizado para gestão de projetos."
Desenvolvedor Java Full Sênior,Brasília,,"JMS, Spring, Hibernate / JPA, SQL, Maven, Teste unitário, JEE, Microservices, Aspectos, Controle de Versão. Conhecimentos desejáveis: Front: Mobx, CSS, Bootstrap, Material design, Angular, Webpack / Gulp, Teste unitário, React native, Backend: ElasticSearch (ELK). Gradle, Docker, OpenShift; CI / CD, NoSQL, Groovy."
Desenvolvedor Júnior,São Paulo,,"Atuar no desenvolvimento, manutenção e implantação de sistemas. Experiência em programação: ."
Desenvolvedor Ionic Júnior,São Paulo,,Irá atuar com análise de Desenvolvimento de Sistemas para Cliente do Ramo Financeiro.
Desenvolvedor Angular Pleno/Sênior,São Paulo,,"Experiencia em desenvolvimento WEB. HTML, CSS (Básico), Javascript e JQuery, JSON e REST. Conhecimentos em front end responsivo."
Desenvolvedor Full Stack Sênior,São Paulo,,"Atua com projetos de desenvolvimento utilizando metodologias ágeis, manutenção, depuração e testes. Conhecimentos com Elastic Search, Kibana, Apache Kakfa, RabbitMQ. Conhecimentos avançados com Asp."
Desenvolvedor Pleno,São Jose dos Campos,,"Atuar com time de design na criação de soluções junto do time de desenvolvimento, Melhoria dos processos/"
Desenvolvedor .NET,São Caetano do Sul,,"Atuar na análise e desenvolvimento das atividades da plataforma de e-commerce da Via Varejo, com foco na qualidade das entregas e satisfação das áreas clientes. Atuar em correções, melhorias e novos projetos, via backlog priorizado, sempre se preocupando para não impactar no fluxo de compras dos sites. Efetuar alinhamentos de dúvidas com as principais áreas cliente Acompanhar o ciclo de vida da atividade desde a análise e correção, até a publicação em Produção. Garantir a qualidade do produto, se preocupando com a esteira de desenvolvimento, homologação e ambientes de produtivos."
Desenvolvedor Front-End Angular,Curitiba,,Participar ativamente do desenvolvimento de soluções de software. Desenvolver interfaces e garantir a qualidade do código entregue. Integrar a equipe de projetos Ágeis (Scrum).
Desenvolvedor Front-end,São Paulo,,"Criação de páginas responsivas, web e mobile, experiência em desenvolvimento de aplicações web utilizando Javascript avançado (OO, herança, prototipação, design pattern, jQuery, ES6)."
Desenvolvedor Sênior,Sorocaba,,"Capacidade de liderar projetos, atuar com SQL e PL/"
Desenvolvedor Pleno,Sorocaba,,"Atuar com banco de dados Oracle. Desejável domínio de ASP NET MVC, Bootstrap, JavaScript e jQuery."
Desenvolvedor Mobile,Florianopolis,,"Irá atuar com desenvolvimento android nativo e framework ionic, em jquery/"
Desenvolvedor .NET,São Paulo,,Desenvolvimento em C# ASP.
Desenvolvedor Web Analytics.,São Paulo,,"Planejar e implementar tecnicamente soluções de mensuração web, mídia e audiência nos ambientes digitais de clientes, garantindo a qualidade dos dados a serem medidos."
Desenvolvedor C# Júnior / Pleno,Rio de Janeiro,,"Terá foco em desenvolvimento e manutenção de aplicações web, assim como em sustentar integrações, aplicar melhores práticas de documentação de código, criação e manutenção de funcionalidades."
Desenvolvedor Full Stack,Araraquara,,"Consigam analisar e entender a necessidade do cliente, propondo soluções viáveis de serem construídas. Desenvolva código baseado na documentação do projeto e histórias de usuário. Configure e mantenha ambientes de projeto necessários para o desenvolvimento do mesmo. Participe das reuniões do projeto atuando de forma positiva e assertiva. Elabore documentação técnica do projeto (sempre que necessário). Garanta a qualidade do código produzido por meio da automatização de testes."
Desenvolvedor Back-end,São Paulo,,"Desenvolvimento, teste e manutenção de plataforma própria de E-commerce. Atuação com sistema de e- commerce em PHP e MySQL."
Desenvolvedor React Native Júnior e Pleno,São Paulo,,"Desenvolvimento em React, depuração, manutenção e testes. Experiência anterior com react native. Experiência com JavaScript, (es6), tratamento de dados json, integração web sVivência em subir versões para apple store e Google play."
Desenvolvedor Fullstack Pleno,São Paulo,,"Atuar com esenvolvimento, com conhecimento nas linguagens J2SE 6, JSP / Servlet, JSON JavaScript, Ajax, jQuery, Web API, Angular 7, HTML 5, CSS, XML, HTML 5, Spring, Spring MVC, Hibernate, JQuery, Tiles, Webparts / Java Server Face, Eclipse, Maven, LINUX, ClearCase (CCRC), Oracle (PL/"
Desenvolvedor Web Go,São Paulo,,"Você irá planejar, desenvolver e implementar novas funcionalidades em nossa plataforma na forma de serviços (SOA/"
Desenvolvedor Python,Curitiba,,"Você irá planejar, desenvolver e implementar novas funcionalidades em nossa plataforma na forma de serviços (SOA/"
Desenvolvedor Fluig,Jundiaí,,"Desenvolvimento de customizações para plataforma Fluig. Integração com outros ERPs ou sistemas legados. Treinamento sobre a plataforma Fluig. Implantação do Fluig e configuração do ambiente. Domínio em programação web, HTML5, CSS3, JavaScript, jQuery, SQL e Bootstrap."
Desenvolvedor .NET Core,São Paulo,,O projeto segue a estrutura MVC com .
Desenvolvedor .NET C# Júnior,Belo Horizonte,,"Trabalhar abraçando os desafios e fazendo o que for necessário (Analisar, projetar, programar, depurar e modificar softwares). Integrar o nosso sistema com plataformas externas (às vezes vai ter webservice, as vezes não!"
Desenvolvedor Web,Cianorte,,"Será responsável em programar, codificar e testar sistemas. Utilizar tecnologias tecnologia Java, Javascript, Html, PHP, Python, JQuery, Angular, MySQL. Executar a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolver trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Full Stack,São Paulo,,"Estruturar, do zero, o sistema que vai tornar viável a operação e suportar o crescimento do negócio. O profissional será responsável pelo desenvolvimento de softwares para gestão de base de dados, bem como softwares para interface com usuário final. Vai atuar em todas as etapas, desde o levantamento dos requisitos e desenvolvimento, até colocar o sistema no ar, entendendo as regras do negócio e agregando valor através das melhores decisões em tecnologia."
Desenvolvedor .NET Júnior,São Paulo,,Irá desenvolver sistemas .
Desenvolvedor Front End,Barueri,,"Controle de versão básico (svn, git)."
Desenvolvedor MySQL / PHP,Belo Horizonte,,"Atuar com WordPress para criação e manutenção de temas (sites e intranet), Cake, PHP, MySQL (manutenção e criação de consultas e procedures), CSS3, HTML5, HTML4, front-end de aplicações, Javascript, jQuery e Ajax."
Desenvolvedor Android Pleno,Sao Leopoldo,,"Programa, codifica e testa sistemas em Android. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor,São Paulo,,"Sobre a Bionexo A Bionexo é uma empresa multinacional que se propõe a transformar a gestão de saúde por meio da tecnologia. Fazemos isso através de nossos produtos que entregam mais eficiência, transparência e inteligência para Hospitais, Clínicas, Fornecedores, Indústria e outros agentes do setor, sejam eles públicos ou privados. Transacionamos +10 Bilhões de reais através de nosso marketplace, ajudando as instituições de saúde a serem mais eficientes e reduzirem custos - por ano são +500 milhões de reais economizados para o setor no Brasil. Nossos clientes representam 38% dos leitos do País e, dessa forma, impactamos +83 milhões de atendimentos/"
Desenvolvedor(a) SharePoint Jr,Rio de Janeiro,,"Estamos selecionando profissional que será orientado para desenvolvimento de soluções para SharePoint 2013 e superiores, envolvendo: "
Desenvolvedor Sênior / Pleno,Joinville,,"Atuar em processo de Fábrica de Software; Angular, HTML, CSS, JavaScript, Bootstrap, JSF, PrimeFaces; Frameworks Spring, CDI, JEE, Padrões de Projeto; Metodologia de desenvolvimento SCRUM; Criação e execução de casos de testes e em automação de testes."
Desenvolvedor Full Stack - Sênior,Campinas,,"Desenvolver novos produtos e manter os produtos existentes usando Java, JavaScript, ReactJS, MongoDB sendo responsável desde a fase inicial de criação até a implementação técnica e implantação do sistema desenvolvido na AWS. Participar em todas as etapas da criação do produto, desde a fase inicial, desenvolvimento e implantação do produto. Desenvolvimento e manutenção de aplicações web e mobile. Realizar a manutenção e criação de novas funcionalidades. Desenvolvimento de funcionalidades no front end e back end. Realizar a manutenção dos serviços e produtos na AWS. Essa vaga é para quem tem paixão e entusiasmo por programação, e que suas soluções surpreendam outros programadores. Ser uma pessoa criativa, ágil, proativa e engajada. Experiência de programação em Java. Experiência com versionamento de código. Experiência de programação em JavaScript. Experiência de programação com banco de dados NoSQL (MongoDB). Experiência com infraestrutura na nuvem (AWS). Conhecimento sólido de algoritmos e estruturas de dados. Graduação completa na área de tecnologia. Diferenciais: Experiência com desenvolvimento mobile. Experiência com Linux. Atuação em projetos de startups."
Desenvolvedor Front-end,Belo Horizonte,,Desenvolver aplicações web para diversos segmentos.
Desenvolvedor Full-Stack .NET Pleno / Sênior,Londrina,,Desenvolver aplicações Web na plataforma .
Desenvolvedor Mobile Nativo e Hibrido,São Paulo,,"Programar, codifica e testa nas plataformas Android e/"
Desenvolvedor Full Stack,Rio de Janeiro,,Programar em todas as camadas do stack tecnológico. Escrever código limpo e de fácil manutenção.
Desenvolvedor Front-end,São Paulo,,Investigar e criar soluções para problemas de negócios através do entendimento das necessidades dos usuários/
Desenvolvedor Back-end Pleno,Campinas,,"Desenvolver novas aplicações, respirar inovação, colaborar na manutenção e constante melhoria de aplicações atuais. Atividades e responsabilidades, programação em C#, análise técnica diagramação e manutenção de bancos de dados testes unitários."
Desenvolvedor Web Pleno,Sao Leopoldo,,"Programa, codifica e testa sistemas, sites e portais voltados para o ambiente da internet. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Android Sênior,São Paulo,,"Pense na UPS, mas sem os caminhões. A Mandaê (www."
Desenvolvedor Mobile - Android,Belo Horizonte,,"Implementar aplicações mobile nativas em Android e iOS, assim como React Native. Desenvolver expertise nos softwares que compõem a plataforma Strider. Desenvolver a compreensão do contexto dos clientes e do uso dos nossos produtos."
Desenvolvedor RPA - Robotic Process Automation,São Paulo,,Experiência prática em desenvolvimento. Experiência em implementação no UiPath. Experiência prática em profundidade em .
Desenvolvedor PHP Full Stack,Porto Alegre,,"Desenvolvimento de sistemas, desenvolvimento de sites, desenvolvimento de aplicativos, consumo de Rest API."
Desenvolvedor .NET,São Paulo,,"Atuar com SQL, C#, com APIs pertinentes ao sistema MVC e Angular, jQuery, Boottstrap, JavaScript, CSS, HTML e Scrum."
Desenvolvedor Frontend,Rio de Janeiro,,"Programar interfaces de Web e ferramentas de edição de imagem. Executar a manutenção dos sistemas, fazendo eventuais correções necessárias. Desenvolver trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Web,Barueri,,"Participar do desenvolvimento de dezenas de aplicativos para as plataformas Android, iOS e Web e participar de uma equipe jovem e cheia de energia. Desenvolvimento em PHP, MySQL, HTML, CSS e JavaScript."
Desenvolvedor FullStack / Ruby on Rails,Curitiba,,"Especificar, projetar e implementar novos sistemas e funcionalidades para aplicações web (RubyOnRails) e dispositivos móveis (Android). Escrever testes automatizados (unitários, de integração e de carga). Auxiliar no DevOps, mantendo e evoluindo a infraestrutura dos sistemas web. Cooperar na idealização de novos produtos e soluções para a empresa."
Desenvolvedor Web - Front End para Apicações,Criciuma,,"Atuar em empresa de prestação de serviços voltada à telemedição de energia elétrica, com linguagens de programação e tecnologias a serem utilizadas nos projetos:"
Desenvolvedor Java Júnior / Pleno,Brasília,,"Desenvolvimento web utilizando, HTML, Java, JavaScript e Python. Conhecimento em banco de dados PostgreSQL. Tomcat."
Desenvolvedor FullStack (Projeto Internacional),Porto Alegre,,Trabalhar em projetos de grande porte com clientes internacionais;
Desenvolvedor PHP Full Stack,Canoas,,"Desenvolvimento de sistemas, desenvolvimento de sites, desenvolvimento de aplicativos, consumo de Rest API."
Desenvolvedor de Tecnologia,Rio de Janeiro,,"Programar, codificar e testar linguagens de programação, com base nos sistemas desenvolvidos pelos analistas."
